titre	url Page d’histoire	sujet	url sujet	agent	url agent	Lieux	url Lieux
Création de l’École nationale supérieure des mines de Saint-Etienne	https://francearchives.fr/pages_histoire/39950	établissement d'enseignement###grande école###industrie	https://francearchives.fr/fr/subject/130710947###https://francearchives.fr/fr/subject/18282591###https://francearchives.fr/fr/subject/130696250	École nationale supérieure des mines (Saint-Étienne) 	https://francearchives.fr/fr/agent/214699694	Saint-Etienne (Loire, France)	https://francearchives.fr/fr/location/18348616
Création de la fondation des Orphelins-Apprentis d’Auteuil	https://francearchives.fr/pages_histoire/40057	enseignement professionnel###aide sociale à l'enfance	https://francearchives.fr/fr/subject/131258042###https://francearchives.fr/fr/subject/130850910	Apprentis d'Auteuil ; Roussel, Louis (1825-1897)	https://francearchives.fr/fr/agent/18605305		
Création de la Ligue de l’enseignement par Jean Macé	https://francearchives.fr/pages_histoire/39294	enseignement public###éducation populaire###association	https://francearchives.fr/fr/subject/171057824###https://francearchives.fr/fr/subject/131789757###https://francearchives.fr/fr/subject/128994231	La Ligue de l'enseignement (France) ; Macé, Jean (1815-1894)  	https://francearchives.fr/fr/agent/175962172		
Création de La Vie parisienne d’Offenbach	https://francearchives.fr/pages_histoire/38993	musique###Second Empire (1852-1870)	https://francearchives.fr/fr/subject/130949414###https://francearchives.fr/fr/subject/217669122	Offenbach, Jacques (1819-1880) 	https://francearchives.fr/fr/agent/19390412		
Création du certificat d’études primaires	https://francearchives.fr/pages_histoire/39000	enseignement élémentaire###examen	https://francearchives.fr/fr/subject/130991769###https://francearchives.fr/fr/subject/130657879	Duruy, Victor (1811-1894) 	https://francearchives.fr/fr/agent/131926427		
Début de la bataille de la Somme	https://francearchives.fr/pages_histoire/38880	Guerre 1914-1918 	 https://francearchives.fr/fr/subject/132091057				Somme
Début de la bataille de Verdun	https://francearchives.fr/pages_histoire/38886	Guerre 1914-1918 	 https://francearchives.fr/fr/subject/132091057	Pétain, Philippe (1856-1951) 	https://francearchives.fr/fr/agent/18439021	Verdun (Meuse, France)	https://francearchives.fr/fr/location/18311984
Début de la parution du Feu d’Henri Barbusse	https://francearchives.fr/pages_histoire/39218	Guerre 1914-1918###littérature	 https://francearchives.fr/fr/subject/132091057###https://francearchives.fr/fr/subject/217853343	Diane de Poitiers (1499-1566) ; Henri II (1519-1559 ; roi de France)	https://francearchives.fr/fr/agent/131451176		
Début de la publication du Grand dictionnaire universel du XIXe siècle de Larousse	https://francearchives.fr/pages_histoire/40055	dictionnaire	https://francearchives.fr/fr/subject/131449539				
Découverte du site préhistorique de Solutré	https://francearchives.fr/pages_histoire/39947	archéologie###Préhistoire	https://francearchives.fr/fr/subject/131991534###https://francearchives.fr/fr/subject/130839211	Arcelin, Adrien (1838-1904) ; Ferry, Henry de (1826-1869)	https://francearchives.fr/fr/agent/165429542	Solutré-Pouilly (Saône-et-Loire, France)	https://francearchives.fr/fr/location/165429554
Diane de Poitiers	https://francearchives.fr/pages_histoire/39506	monarchie###condition féminine###Renaissance	https://francearchives.fr/fr/subject/223584###https://francearchives.fr/fr/subject/18258287###https://francearchives.fr/fr/subject/131693346	Diane de Poitiers (1499-1566) ; Henri II (1519-1559 ; roi de France)	https://francearchives.fr/fr/agent/19018606###https://francearchives.fr/fr/agent/130722467	Anet (Eure-et-Loir, France)	https://francearchives.fr/fr/location/217992728
